2797446218 = co_gun01_mark01, Starbeam (Class 1)
3058004237 = fc_lr_gun01_mark01, Azrael (Class 1)
2244256138 = fc_or_gun01_mark01_m1, Death's Hand Mk I (Class 1)
3219265993 = li_gun01_mark01, Justice Mk I (Class 1)
2682410442 = li_gun02_mark01, Lavablade Mk I (Class 1)
2430115789 = rh_gun01_mark01_m1, Stealthblade Mk I (Class 1)
2260588618 = co_gun01_mark02, Adv. Starbeam (Class 2)
2988811471 = fc_x_gun01_mark01, Scorpion (Class 2)
2661610701 = fc_j_gun01_mark01, Barrager Mk I (Class 2)
2979767297 = gd_bh_gun01_mark01, Gunslinger Mk I (Class 2)
2442913794 = gd_bh_gun02_mark01, Brave Mk I (Class 2)
2682414537 = li_gun01_mark02, Justice Mk II (Class 2)
3219270090 = li_gun02_mark02, Lavablade Mk II (Class 2)
2797456458 = co_gun01_mark03, Heavy Starbeam (Class 3)
2521107725 = fc_lr_gun01_mark02, Drail (Class 3)
3118742732 = fc_g_gun01_mark01, Avenger (Class 3)
2451953871 = fc_x_gun01_mark02, Adv. Scorpion (Class 3)
2490151175 = gd_im_gun01_mark01, Matterthief 1 (Class 3)
2957771599 = gd_z_gun01_mark01, Helios (Class 3)
3219288521 = li_gun01_mark03, Justice Mk III (Class 3)
2682404298 = li_gun02_mark03, Lavablade Mk III (Class 3)
2430138317 = rh_gun01_mark01_m3, Stealthblade Mk I (Class 3)
3198453965 = fc_j_gun01_mark02, Barrager Mk II (Class 4)
2581872844 = fc_g_gun01_mark02, Avenger Type B (Class 4)
3057981709 = fc_lr_gun01_mark03, Raphael (Class 4)
2506452174 = fc_u_gun01_mark01, Protector Mk I (Class 4)
3148043585 = fc_ou_gun01_mark01, Dragoon Type 1 (Class 4)
2259895305 = fc_gc_gun01_mark01, Suncannon A (Class 4)
2611157314 = fc_ou_gun02_mark01, Pyros Type 1 (Class 4)
2383495181 = fc_fa_gun01_mark01, Vulture (Class 4)
3027029255 = gd_im_gun01_mark02, Matterthief 2 (Class 4)
2682428873 = li_gun01_mark04, Vengeance Mk I (Class 4)
2442909697 = gd_bh_gun01_mark02, Gunslinger Mk II (Class 4)
3219313098 = li_gun02_mark04, Magma Hammer Mk I (Class 4)
2979763202 = gd_bh_gun02_mark02, Brave Mk II (Class 4)
2782804045 = br_gun01_mark01, Ripper (Class 4)
2420932431 = gd_z_gun01_mark02, Helios 2 (Class 4)
2245948494 = br_gun02_mark01, Skyrail (Class 4)
3099894030 = fc_lh_gun01_mark01, Hellflurry Mk I (Class 4)
2521167117 = fc_lr_gun01_mark04, Usiel (Class 5)
3118748876 = fc_g_gun01_mark03, Gaia's Savior (Class 5)
2611161409 = fc_ou_gun01_mark02, Dragoon Type 2 (Class 5)
2482237707 = fc_lwb_gun01_mark01, Devastator (Class 5)
3148047682 = fc_ou_gun02_mark02, Pyros Type 2 (Class 5)
2920365069 = fc_fa_gun01_mark02, Vulture 2 (Class 5)
2833538252 = fc_c_gun01_mark01, Angelito Mk I (Class 5)
2988821711 = fc_x_gun01_mark03, Tarantula (Class 5)
2523073857 = fc_or_gun01_mark01, Death's Hand Mk I (Class 5)
3219294665 = li_gun01_mark05, Vengeance Mk II (Class 5)
