2472077709 = fc_lr_turret01_mark01, Zaphiel Turret (Class 1)
3161989646 = li_turret01_mark01, Justice Turret Mk I (Class 1)
2759818753 = co_turret01_mark01, Starbeam Turret (Class 1)
2625138189 = li_turret02_mark01, Lavablade Turret Mk I (Class 1)
2950730184 = fc_j_turret01_mark01, Barrager Turret Mk I (Class 2)
2900244931 = gd_bh_turret01_mark01, Gunslinger Turret Mk I (class 2)
3008927117 = fc_lr_turret01_mark02, Badariel Turret (Class 3)
2625134094 = li_turret01_mark02, Justice Turret Mk II (Class 3)
2913399106 = gd_im_turret01_mark01, Matterthief Turret (Class 3)
3161985549 = li_turret02_mark02, Lavablade Turret Mk II (Class 3)
2617748622 = loot_turret01, Rowlett's Revenge (Class 3)
2222916097 = co_turret01_mark02, Adv. Starbeam Turret (Class 3)
2413882824 = fc_j_turret01_mark02, Barrager Turret Mk II (Class 4)
2363389376 = gd_bh_turret02_mark01, Brave Turret (Class 4)
2959745095 = fc_ou_turret01_mark01, Dragoon Turret Type 1 (Class 4)
2509614920 = gd_z_turret01_mark01, Helios Turret (Class 4)
2422893636 = fc_ou_turret02_mark01, Pyros Turret Type 1 (Class 4)
2259240647 = br_turret01_mark01, Ripper Turret (Class 4)
3089894851 = fc_lh_turret01_mark01, Hellflurry Turret Mk I (Class 4)
2796096196 = br_turret02_mark01, Skyrail Turret (Class 4)
2363377091 = gd_bh_turret01_mark02, Gunslinger Turret Mk II (Class 4)
2472051085 = fc_lr_turret01_mark03, Sapiel Turret (Class 5)
2259252932 = br_turret02_mark02, Adv. Skyrail Turret (Class 5)
3120401870 = fc_rh_turret01_mark01, Natter Turret (Class 5)
2329930695 = fc_c_turret01_mark01, Angelito Turret Mk I (Class 5)
3161999886 = li_turret01_mark03, Vengeance Turret (Class 5)
2896229966 = fc_or_turret01_mark01, Death's Hand Turret Mk I (Class 5)
2768965381 = ku_turret01_mark01, Scrambler Turret 1 (Class 5)
2359343693 = fc_or_turret02_mark01, Reaper Turret Mk I (Class 5)
2232107782 = ku_turret02_mark01, Sunfury Turret 1 (Class 5)
3005892545 = fc_m_turret01_mark01, Dublin Duster Turret Mk I (Class 5)
2796108487 = br_turret01_mark02, Adv. Ripper Turret (Class 5)
2625111565 = li_turret02_mark03, Magma Hammer Turret (Class 5)
3088456655 = gd_gm_turret01_mark01, Sunblast Turret (Class 6)
2950756808 = fc_j_turret01_mark03, Barrager Turret Mk III (Class 6)
2376502594 = gd_im_turret01_mark02, Vampire Turret 1 (Class 6)
2422889543 = fc_ou_turret01_mark02, Dragoon Turret Type 2 (Class 6)
2900251075 = gd_bh_turret01_mark03, Winchester Turret (Class 6)
2959740996 = fc_ou_turret02_mark02, Pyros Turret Type 2 (Class 6)
2619596617 = fc_bd_turret01_mark01, Tanto Turret (Class 6)
2395636173 = fc_b_turret01_mark01, Luger Turret Type A (Class 6)
3046495048 = gd_z_turret01_mark02, Fury Turret (Class 6)
2553049539 = fc_lh_turret01_mark02, Hellflurry Turret Mk II (Class 6)
2259234503 = br_turret01_mark03, Dissolver Turret (Class 6)
2812937673 = fc_h_turret01_mark01, Drake Turret Type A (Class 6)
2796118724 = br_turret02_mark03, Sunrail Turret (Class 6)
3116156937 = rh_turret01_mark01, Stealthblade Turret Mk I (Class 6)
2232120069 = ku_turret01_mark02, Scrambler Turret 2 (Class 6)
2579268618 = rh_turret02_mark01, Flamecurse Turret Mk I (Class 6)
2768977670 = ku_turret02_mark02, Sunfury Turret 2 (Class 6)
3008916877 = fc_lr_turret01_mark04, Thoth Turret (Class 7)
2866780103 = fc_c_turret01_mark02, Angelito Turret Mk II (Class 7)
2900232640 = gd_bh_turret02_mark02, Warrior Turret (Class 7)
2359331406 = fc_or_turret01_mark02, Death's Hand Turret Mk II (Class 7)
2583556558 = fc_rh_turret01_mark02, Roter Blitz Turret (Class 7)
2896217677 = fc_or_turret02_mark02, Reaper Turret Mk II (Class 7)
2768987909 = ku_turret01_mark03, Disinfector Turret (Class 7)
2469018561 = fc_m_turret01_mark02, Dublin Duster Turret Mk II (Class 7)
2232101638 = ku_turret02_mark03, Sunfrenzy Turret (Class 7)
2579280905 = rh_turret01_mark02, Stealthblade Turret Mk II (Class 7)
2759792129 = co_turret01_mark03, Flashpoint Turret (Class 7)
3116169226 = rh_turret02_mark02, Flamecurse Turret Mk II (Class 7)
2959755335 = fc_ou_turret01_mark03, Wyrm Turret (Class 8)
2551605199 = gd_gm_turret01_mark02, Skyblast Turret A (Class 8)
2422867012 = fc_ou_turret02_mark03, Kraken Turret (Class 8)
2913376578 = gd_im_turret01_mark03, Vampire Turret 2 (Class 8)
2363407811 = gd_bh_turret01_mark04, Reaver Turret (Class 8)
2932538829 = fc_b_turret01_mark02, Luger Turret Type B (Class 8)
3156452169 = fc_bd_turret01_mark02, Katana Turret (Class 8)
2276096457 = fc_h_turret01_mark02, Drake Turret Type B (Class 8)
2509621064 = gd_z_turret01_mark03, Fury 2 Turret (Class 8)
3116146697 = rh_turret01_mark03, Hornviper Turret (Class 8)
2579295242 = rh_turret02_mark03, Firekiss Turret (Class 8)
2329904071 = fc_c_turret01_mark03, Salamanca Turret (Class 9)
3088479183 = gd_gm_turret01_mark03, Skyblast Turret B (Class 9)
2363366848 = gd_bh_turret02_mark03, Buckshot Turret (Class 9)
2222928386 = co_turret02_mark01, Stunpulse Turret (Class 2 ShieldBuster)
2759806466 = co_turret02_mark02, Debilitator Turret (Class 6 ShieldBuster)
2866784196 = fc_c_turret02_mark01, Borroco Turret (Class 6 ShieldBuster)
2222938626 = co_turret02_mark03, Adv. Debilitator Turret (Class 8 ShieldBuster)
2329926596 = fc_c_turret02_mark02, Rapier Turret (Class 8 ShieldBuster)
3128251332 = nomad_turret01_mark01, Nomad Turret
2429043590 = nomad_dyson_turret01, Nomad Dyson Sphere Turret
2808190216 = nomad_lair_turret01, Nomad Lair Turret (1)
2271340808 = nomad_lair_turret02, Nomad Lair Turret (2)
2276366220 = gd_gm_transport_turret01_mark01, Mk I Turret (Small Transport)
2201294668 = gd_im_transport_turret01_mark01, Mk I Turret (Small Transport) 
3018812172 = co_transport_turret01_mark01, Mk I Turret (Small Transport)
2813258636 = gd_gm_transport_turret01_mark02, Mk II Turret (Small Transport)
2738187084 = gd_im_transport_turret01_mark02, Mk II Turret (Small Transport)
2481919756 = co_transport_turret01_mark02, Mk II Turret (Small Transport)
2276392844 = gd_gm_transport_turret01_mark03, Mk III Turret (Small Transport)
2201321292 = gd_im_transport_turret01_mark03, Mk III Turret (Small Transport)
3018785548 = co_transport_turret01_mark03, Mk III Turret (Small Transport)
2813254543 = gd_gm_transport_turret02_mark01, Mk I Turret (Large Transport)
2738182991 = gd_im_transport_turret02_mark01, Mk I Turret (Large Transport)
2481923855 = co_transport_turret02_mark01, Mk I Turret (Large Transport)
2276370319 = gd_gm_transport_turret02_mark02, Mk II Turret (Large Transport)
2201298767 = gd_im_transport_turret02_mark02, Mk II Turret (Large Transport)
3018808079 = co_transport_turret02_mark02, Mk II Turret (Large Transport)
2813244303 = gd_gm_transport_turret02_mark03, Mk III Turret (Large Transport)
2738172751 = gd_im_transport_turret02_mark03, Mk III Turret (Large Transport)
2481934095 = co_transport_turret02_mark03, Mk III Turret (Large Transport)
3098094157 = gd_gm_train_turret01_mark01, Mk I Turret (Small Train)
3164883915 = gd_im_train_turret01_mark01, Mk I Turret (Small Train)              
2975699912 = co_train_turret01_mark01, Mk I Turret (Small Train)
2561234509 = gd_gm_train_turret01_mark02, Mk II Turret (Small Train)
2628007883 = gd_im_train_turret01_mark02, Mk II Turret (Small Train)
2438852552 = co_train_turret01_mark02, Mk II Turret (Small Train)
3098100301 = gd_gm_train_turret01_mark03, Mk III Turret Type 1 (Small Train)
3164873675 = gd_im_train_turret01_mark03, Mk III Turret Type 1 (Small Train)
2975726536 = co_train_turret01_mark03, Mk III Turret Type 1 (Small Train)
2561216078 = gd_gm_train_turret02_mark03, Mk III Turret Type 2 (Small Train)
2628022216 = gd_im_train_turret02_mark03, Mk III Turret Type 2 (Small Train)
2438838219 = co_train_turret02_mark03, Mk III Turret Type 2 (Small Train)
2561238606 = gd_gm_train_turret02_mark01, Mk I Turret (Medium Train)
2627995592 = gd_im_train_turret02_mark01, Mk I Turret (Medium Train)
2438848459 = co_train_turret02_mark01, Mk I Turret (Medium Train)
3098090062 = gd_gm_train_turret02_mark02, Mk II Turret (Medium Train)
3164896200 = gd_im_train_turret02_mark02, Mk II Turret (Medium Train)
2975704011 = co_train_turret02_mark02, Mk II Turret (Medium Train)
3098108495 = gd_gm_train_turret03_mark01, Mk I Turret (Large Train)
3164865481 = gd_im_train_turret03_mark01, Mk I Turret (Large Train)
2975718346 = co_train_turret03_mark01, Mk I Turret (Large Train)
2561220175 = gd_gm_train_turret03_mark02, Mk II Turret (Large Train)
2628026313 = gd_im_train_turret03_mark02, Mk II Turret (Large Train)
2438834122 = co_train_turret03_mark02, Mk II Turret (Large Train)
3098085967 = gd_gm_train_turret03_mark03, Mk III Turret (Large Train)
3164892105 = gd_im_train_turret03_mark03, Mk III Turret (Large Train)
2975708106 = co_train_turret03_mark03, Mk III Turret (Large Train)
2686817801 = co_lifter_turret01, Heavy Lifter Turret
2504894597 = co_repair_turret01, Repair Ship Turret
2428632966 = co_liner_turret01, Cruise Liner Turret
2655614920 = li_prison_turret01, Liberty Prison Ship Turret
2761429761 = br_prison_turret01, Bretonia Prison Ship Turret
2268748483 = ku_prison_turret01, Kusari Prison Ship Turret
2609749455 = rh_prison_turret01, Rhineland Prison Ship Turret
2290616329 = gd_im_miner_turret01, Small Miner Turret Type 1
2223101830 = co_miner_turret01, Small Miner Turret Type 2
2827514889 = gd_im_miner_turret02, Medium Miner Turret Type 1
